,Castelo Branco, CENTRO OESTE,"-16.679227942503644, -49.29827230199405"
,Setor Central, CENTRO OESTE,"-16.666980587031425, -49.25213224629807"
,Setor Centro Oeste, CENTRO OESTE,"-16.653362528993984, -49.27378765397603"
,Cidade Jardim, CENTRO OESTE,"-16.686947948991357, -49.307692778885205"
,Setor Coimbra, CENTRO OESTE,"-16.678632822863186, -49.285895320832466"
,Setor Crimeia Leste, CENTRO OESTE,"-16.647292966126702, -49.26059280841461"
,Setor Crimeia Oeste, CENTRO OESTE,"-16.6497670203684, -49.266924805396165"
,Elisios Campos, CENTRO OESTE,"-16.66432076442126, -49.23337988977215"
,Esplanada do Anicuns, CENTRO OESTE,"-16.667159350621173, -49.315212524313075"
,Setor dos Funcionarios, CENTRO OESTE,"-16.67052598957352, -49.28031897562514"
,Guadalajara, CENTRO OESTE,"-16.681129126986946, -49.316096498163944"
,Industrial Mooca, CENTRO OESTE,"-16.67626687454507, -49.31891099209339"
,Jardim Xavier, CENTRO OESTE,"-16.66404563639339, -49.2818856681674"
,Setor Marechal Rondon, CENTRO OESTE,"-16.663320927135295, -49.267971486817196"
,Morada Nova, CENTRO OESTE,"-16.679754951227228, -49.315813309088114"
Vila,Morais, CENTRO OESTE,"-16.662525046672407, -49.22229864190686"
,Setor Negrao de Lima, CENTRO OESTE,"-16.65514831084825, -49.24274869873616"
,Nossa Senhora de Fatima, CENTRO OESTE,"-16.687546788963456, -49.318050876391915"
,Nova Vila, CENTRO OESTE,"-16.659111905360785, -49.25412787202745"
,Setor Norte Ferroviario, CENTRO OESTE,"-16.656894053961345, -49.26207429032963"
,Padre Pelagio, CENTRO OESTE,"-16.507394815868167, -49.43012946279764"
,Parque Industrial de Goiânia, CENTRO OESTE,"-16.659646844865517, -49.23232970141945"
,Rodoviario, CENTRO OESTE,"-16.672685551233116, -49.30053950795209"
,Romildo F. R. Amaral, CENTRO OESTE,"-16.686895659881646, -49.298760507117926"
,Setor Santos Dumont, CENTRO OESTE,"-16.65203284940902, -49.34687325946173"
,Setor Sao Jose, CENTRO OESTE,"-16.657652539880925, -49.30297491643568"
,Setor Sul, CENTRO OESTE,"-16.69025171111922, -49.253431127069945"
,Setor Leste Universitario, CENTRO OESTE,"-16.6783196258767, -49.24053548459867"
,Vila Abaja, CENTRO OESTE,"-16.664543003103592, -49.29216354840262"
,Vila Adelia, CENTRO OESTE,"-16.68828179743414, -49.32409651406565"
,Vila Aguiar, CENTRO OESTE,"-16.682055114748625, -49.29587593752686"
